YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:49:18', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032150569'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018881'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018880'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018879'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018878'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018877'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='迪奥娜', lang='zh-cn', item_type='角色', rank_type='4', id='1628589960032018876'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018875'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018874'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018873'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:47', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960032018872'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:42', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960031997437'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:36', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960031972118'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-08-10 18:48:27', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1628589960031933701'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 05:08:23', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1627592760000025809'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 05:06:54', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1627592760000021167'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:46:40', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000297672'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:46:34', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000297117'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:46:13', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000295336'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291340'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291339'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291338'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291337'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291336'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='西风剑', lang='zh-cn', item_type='武器', rank_type='4', id='1627581960000291335'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291334'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291333'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291332'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:45:26', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000291331'}
